name,atomic_mass,category,number,period,group,symbol,electron_configuration_semantic,electron_affinity,electronegativity,Atomic Radius,Melting Point (K),Boiling Point (K)
Hydrogen,1.008,NONMETAL,1,1,1,H,1s1,72.769,2.2,0.79,14.175,20.28
Helium,4.0026022,HALOGEN,2,1,18,He,1s2,-48,0,0.49,,4.22
Lithium,6.94,ALKALI_METAL,3,2,1,Li,[He] 2s1,59.6326,0.98,2.1,453.85,1615
Beryllium,9.01218315,ALKALINE_EARTH_METAL,4,2,2,Be,[He] 2s2,-48,1.57,1.4,1560.15,2742
Boron,10.81,METALLOID,5,2,13,B,[He] 2s2 2p1,26.989,2.04,1.2,2573.15,4200
Carbon,12.011,NONMETAL,6,2,14,C,[He] 2s2 2p2,121.7763,2.55,0.91,3948.15,4300
Nitrogen,14.007,NONMETAL,7,2,15,N,[He] 2s2 2p3,-6.8,3.04,0.75,63.29,77.36
Oxygen,15.999,NONMETAL,8,2,16,O,[He] 2s2 2p4,140.976,3.44,0.65,50.5,90.2
Fluorine,18.99840316,NONMETAL,9,2,17,F,[He] 2s2 2p5,328.1649,3.98,0.57,53.63,85.03
Neon,20.17976,HALOGEN,10,2,18,Ne,[He] 2s2 2p6,-116,0,0.51,24.703,27.07
Sodium,22.98976928,ALKALI_METAL,11,3,1,Na,[Ne] 3s1,52.867,0.93,2.2,371.15,1156
Magnesium,24.305,ALKALINE_EARTH_METAL,12,3,2,Mg,[Ne] 3s2,-40,1.31,1.7,923.15,1363
Aluminium,26.98153857,TRANSITION_METAL,13,3,13,Al,[Ne] 3s2 3p1,41.762,1.61,1.8,933.4,2792
Silicon,28.085,METALLOID,14,3,14,Si,[Ne] 3s2 3p2,134.0684,1.9,1.5,1683.15,3538
Phosphorus,30.973762,NONMETAL,15,3,15,P,[Ne] 3s2 3p3,72.037,2.19,1.2,317.25,553
Sulfur,32.06,NONMETAL,16,3,16,S,[Ne] 3s2 3p4,200.4101,2.58,1.1,388.51,717.8
Chlorine,35.45,NONMETAL,17,3,17,Cl,[Ne] 3s2 3p5,348.575,3.16,0.97,172.31,239.11
Argon,39.9481,HALOGEN,18,3,18,Ar,[Ne] 3s2 3p6,-96,0,0.88,83.96,87.3
Potassium,39.09831,ALKALI_METAL,19,4,1,K,[Ar] 4s1,48.383,0.82,2.8,336.5,1032
Calcium,40.0784,ALKALINE_EARTH_METAL,20,4,2,Ca,[Ar] 4s2,2.37,1,2.2,1112.15,1757
Scandium,44.9559085,TRANSITION_METAL,21,4,3,Sc,[Ar] 3d1 4s2,18,1.36,2.1,1812.15,3109
Titanium,47.8671,TRANSITION_METAL,22,4,4,Ti,[Ar] 3d2 4s2,7.289,1.54,2,1933.15,3560
Vanadium,50.94151,TRANSITION_METAL,23,4,5,V,[Ar] 3d3 4s2,50.911,1.63,1.9,2175.15,3680
Chromium,51.99616,TRANSITION_METAL,24,4,6,Cr,[Ar] 3d5 4s1,65.21,1.66,1.9,2130.15,2944
Manganese,54.9380443,TRANSITION_METAL,25,4,7,Mn,[Ar] 3d5 4s2,-50,1.55,1.8,1519.15,2334
Iron,55.8452,TRANSITION_METAL,26,4,8,Fe,[Ar] 3d6 4s2,14.785,1.83,1.7,1808.15,3134
Cobalt,58.9331944,TRANSITION_METAL,27,4,9,Co,[Ar] 3d7 4s2,63.898,1.88,1.7,1768.15,3200
Nickel,58.69344,TRANSITION_METAL,28,4,10,Ni,[Ar] 3d8 4s2,111.65,1.91,1.6,1726.15,3186
Copper,63.5463,TRANSITION_METAL,29,4,11,Cu,[Ar] 3d10 4s1,119.235,1.9,1.6,1357.75,2835
Zinc,65.382,TRANSITION_METAL,30,4,12,Zn,[Ar] 3d10 4s2,-58,1.65,1.5,692.88,1180
Gallium,69.7231,TRANSITION_METAL,31,4,13,Ga,[Ar] 3d10 4s2 4p1,41,1.81,1.8,302.91,2477
Germanium,72.6308,METALLOID,32,4,14,Ge,[Ar] 3d10 4s2 4p2,118.9352,2.01,1.5,1211.45,3106
Arsenic,74.9215956,METALLOID,33,4,15,As,[Ar] 3d10 4s2 4p3,77.65,2.18,1.3,1090.15,887
Selenium,78.9718,NONMETAL,34,4,16,Se,[Ar] 3d10 4s2 4p4,194.9587,2.55,1.2,494.15,958
Bromine,79.904,NONMETAL,35,4,17,Br,[Ar] 3d10 4s2 4p5,324.537,2.96,1.1,266.05,332
Krypton,83.7982,HALOGEN,36,4,18,Kr,[Ar] 3d10 4s2 4p6,-96,3,1,115.93,119.93
Rubidium,85.46783,ALKALI_METAL,37,5,1,Rb,[Kr] 5s1,46.884,0.82,3,312.79,961
Strontium,87.621,ALKALINE_EARTH_METAL,38,5,2,Sr,[Kr] 5s2,5.023,0.95,2.5,1042.15,1655
Yttrium,88.905842,TRANSITION_METAL,39,5,3,Y,[Kr] 4d1 5s2,29.6,1.22,2.3,1799.15,3609
Zirconium,91.2242,TRANSITION_METAL,40,5,4,Zr,[Kr] 4d2 5s2,41.806,1.33,2.2,2125.15,4682
Niobium,92.906372,TRANSITION_METAL,41,5,5,Nb,[Kr] 4d4 5s1,88.516,1.6,2.1,2741.15,5017
Molybdenum,95.951,TRANSITION_METAL,42,5,6,Mo,[Kr] 4d5 5s1,72.1,2.16,2,2890.15,4912
Technetium,98,TRANSITION_METAL,43,5,7,Tc,[Kr] 4d5 5s2,53,1.9,2,2473.15,5150
Ruthenium,101.072,TRANSITION_METAL,44,5,8,Ru,[Kr] 4d7 5s1,100.96,2.2,1.9,2523.15,4423
Rhodium,102.905502,TRANSITION_METAL,45,5,9,Rh,[Kr] 4d8 5s1,110.27,2.28,1.8,2239.15,3968
Palladium,106.421,TRANSITION_METAL,46,5,10,Pd,[Kr] 4d10,54.24,2.2,1.8,1825.15,3236
Silver,107.86822,TRANSITION_METAL,47,5,11,Ag,[Kr] 4d10 5s1,125.862,1.93,1.8,1234.15,2435
Cadmium,112.4144,TRANSITION_METAL,48,5,12,Cd,[Kr] 4d10 5s2,-68,1.69,1.7,594.33,1040
Indium,114.8181,TRANSITION_METAL,49,5,13,In,[Kr] 4d10 5s2 5p1,37.043,1.78,2,429.91,2345
Tin,118.7107,TRANSITION_METAL,50,5,14,Sn,[Kr] 4d10 5s2 5p2,107.2984,1.96,1.7,505.21,2875
Antimony,121.7601,METALLOID,51,5,15,Sb,[Kr] 4d10 5s2 5p3,101.059,2.05,1.5,904.05,1860
Tellurium,127.603,METALLOID,52,5,16,Te,[Kr] 4d10 5s2 5p4,190.161,2.1,1.4,722.8,1261
Iodine,126.904473,NONMETAL,53,5,17,I,[Kr] 4d10 5s2 5p5,295.1531,2.66,1.3,386.65,457.4
Xenon,131.2936,HALOGEN,54,5,18,Xe,[Kr] 4d10 5s2 5p6,-77,2.6,1.2,161.45,165.03
Cesium,132.905452,ALKALI_METAL,55,6,1,Cs,[Xe] 6s1,45.505,0.79,3.3,301.7,944
Barium,137.3277,ALKALINE_EARTH_METAL,56,6,2,Ba,[Xe] 6s2,13.954,0.89,2.8,1002.15,2170
Lanthanum,138.905477,LANTHANIDE,57,6,3,La,[Xe] 5d16s2,53,1.1,2.7,1193.15,3737
Cerium,140.1161,LANTHANIDE,58,6,3,Ce,[Xe] 4f1 5d1 6s2,55,1.12,2.7,1071.15,3716
Praseodymium,140.907662,LANTHANIDE,59,6,3,Pr,[Xe] 4f3 6s2,93,1.13,2.7,1204.15,3793
Neodymium,144.2423,LANTHANIDE,60,6,3,Nd,[Xe] 4f4 6s2,184.87,1.14,2.6,1289.15,3347
Promethium,145,LANTHANIDE,61,6,3,Pm,[Xe] 4f5 6s2,12.45,1.13,2.6,1204.15,3273
Samarium,150.362,LANTHANIDE,62,6,3,Sm,[Xe] 4f6 6s2,15.63,1.17,2.6,1345.15,2067
Europium,151.9641,LANTHANIDE,63,6,3,Eu,[Xe] 4f7 6s2,11.2,1.2,2.6,1095.15,1802
Gadolinium,157.253,LANTHANIDE,64,6,3,Gd,[Xe] 4f7 5d1 6s2,13.22,1.2,2.5,1585.15,3546
Terbium,158.925352,LANTHANIDE,65,6,3,Tb,[Xe] 4f9 6s2,112.4,1.1,2.5,1630.15,3503
Dysprosium,162.5001,LANTHANIDE,66,6,3,Dy,[Xe] 4f10 6s2,33.96,1.22,2.5,1680.15,2840
Holmium,164.930332,LANTHANIDE,67,6,3,Ho,[Xe] 4f11 6s2,32.61,1.23,2.5,1743.15,2993
Erbium,167.2593,LANTHANIDE,68,6,3,Er,[Xe] 4f12 6s2,30.1,1.24,2.5,1795.15,3503
Thulium,168.934222,LANTHANIDE,69,6,3,Tm,[Xe] 4f13 6s2,99,1.25,2.4,1818.15,2223
Ytterbium,173.0451,LANTHANIDE,70,6,3,Yb,[Xe] 4f14 6s2,-1.93,1.1,2.4,1097.15,1469
Lutetium,174.96681,LANTHANIDE,71,6,3,Lu,[Xe] 4f14 5d1 6s2,33.4,1.27,2.3,1936.15,3675
Hafnium,178.492,TRANSITION_METAL,72,6,4,Hf,[Xe] 4f14 5d2 6s2,17.18,1.3,2.2,2500.15,4876
Tantalum,180.947882,TRANSITION_METAL,73,6,5,Ta,[Xe] 4f14 5d3 6s2,31,1.5,2.1,3269.15,5731
